Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,5,9,14,20,24,26,25,31,34,35,59,75,92,104,113,128,144,156,178,229,300,370,413,474,527,548,603
angular_total, 5,12,18,23,30,32,36,35,42,47,49,82,107,136,159,176,200,225,247,280,387,510,630,734,852,954,1020,1117
blazor_script, 1,11,17,24,31,39,47,53,62,68,85,159,240,316,396,478,563,672,742,853,1398,2017,2704,3402,4281,5169,6107,7223
blazor_total, 4,15,23,30,37,47,55,65,72,78,94,176,264,344,429,518,611,725,802,921,1502,2157,2883,3614,4537,5459,6446,7596
react_script, 0,5,7,9,11,16,18,22,22,24,27,51,80,105,135,161,193,230,266,328,583,843,1206,1639,2134,2691,3321,3998
react_total, 4,11,14,15,18,20,24,29,28,33,36,67,101,132,169,203,241,284,324,392,683,974,1375,1840,2372,2961,3635,4343
svelte_script, 0,2,4,6,7,7,8,9,10,10,15,24,38,48,64,72,94,100,118,124,181,219,262,296,355,393,430,464
svelte_total, 5,7,10,12,14,13,13,17,19,22,26,41,60,77,104,114,143,155,181,197,293,359,443,509,607,680,765,837
vue_script, 0,8,13,18,25,29,37,40,45,48,52,110,146,184,255,311,356,261,457,520,881,1308,1849,2515,3251,4087,5109,6133
vue_total, 5,13,19,24,33,36,45,48,53,58,62,126,168,213,291,353,404,315,517,586,983,1440,2020,2717,3490,4361,5423,6479
vue3_script, 0,6,11,15,20,24,28,34,35,39,42,71,88,115,135,142,160,161,172,187,255,316,373,442,500,567,620,681
vue3_total, 4,11,18,21,27,31,36,43,45,49,53,87,110,143,171,184,208,216,234,254,356,452,547,647,740,838,936,1029
