Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,2,4,7,8,9,11,12,13,15,17,36,55,72,84,100,114,132,154,175,305,561,845,1096,1405,1739,2111,2539
angular_total, 5,7,8,12,13,16,19,23,24,27,32,62,92,118,142,170,196,225,259,294,484,802,1150,1463,1839,2233,2667,3160
blazor_script, 1,3,4,5,6,7,8,9,10,11,13,23,36,47,60,71,81,92,103,121,191,283,368,467,574,684,797,921
blazor_total, 5,6,8,10,10,12,14,14,19,21,20,44,66,87,109,128,148,169,189,224,349,502,644,792,959,1124,1297,1476
react_script, 0,2,3,5,6,9,7,8,9,10,11,25,40,56,76,95,115,138,166,197,386,635,963,1375,1761,2264,2880,3559
react_total, 5,7,10,11,13,18,16,18,20,19,21,51,77,103,134,164,196,231,270,313,562,873,1264,1738,2185,2750,3429,4171
svelte_script, 0,1,1,1,1,2,2,2,2,2,3,7,9,13,16,17,19,20,23,26,37,46,54,63,70,80,90,102
svelte_total, 4,4,5,6,5,7,9,7,9,10,8,14,32,57,77,89,102,115,129,143,215,286,358,431,498,567,637,719
vue_script, 0,1,2,3,4,5,5,6,7,9,10,20,27,33,38,43,49,53,57,59,71,89,95,107,118,130,147,155
vue_total, 4,7,6,10,8,9,14,16,15,19,19,46,64,80,98,112,131,146,162,174,245,329,397,472,544,618,699,768
vue3_script, 0,2,3,3,5,5,7,7,10,11,11,24,29,33,36,39,43,47,50,53,67,85,104,118,142,155,174,190
vue3_total, 5,7,7,7,9,11,11,15,18,18,20,50,65,77,89,103,125,141,156,171,244,329,410,488,572,644,728,802
