Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,2,4,6,7,8,11,13,14,16,19,38,64,107,134,136,161,593,809,978,2114,3461,1941,2695,3693,4644,5844,7047
angular_total, 4,9,8,10,11,13,15,17,18,20,23,43,70,118,148,149,179,611,830,1003,2147,3497,1962,2721,3723,4676,5880,7087
blazor_script, 1,4,5,7,9,9,10,12,13,14,15,28,39,61,77,99,121,137,158,179,321,485,908,922,1180,1484,1797,2256
blazor_total, 4,8,9,10,13,15,15,15,17,17,18,33,44,65,86,106,126,141,164,185,328,493,931,933,1190,1496,1809,2278
react_script, 0,1,1,1,2,2,2,3,3,4,4,8,13,18,23,27,29,32,35,38,54,68,90,101,117,137,148,159
react_total, 4,6,5,5,6,5,5,6,7,7,7,13,17,23,27,31,34,38,41,44,61,77,103,116,131,152,167,177
svelte_script, 0,1,1,2,2,2,3,4,4,5,5,10,16,23,28,34,38,43,47,50,67,87,118,144,167,188,206,231
svelte_total, 4,7,7,8,7,6,7,7,11,11,12,16,22,29,33,39,43,52,58,59,80,105,159,191,220,259,283,311
vue_script, 0,1,2,3,4,4,5,5,6,8,8,17,26,30,88,111,86,124,140,179,446,415,575,777,1016,1295,1564,1915
vue_total, 4,7,6,6,7,7,8,9,10,11,12,21,32,36,97,121,97,136,150,191,461,426,587,790,1033,1314,1584,1938
vue3_script, 0,1,1,2,2,3,3,3,4,5,6,11,16,20,23,27,32,34,37,41,56,80,97,114,131,146,161,172
vue3_total, 5,5,6,5,5,6,7,7,7,9,9,15,22,24,28,34,37,43,46,49,66,103,124,142,158,177,197,220
