Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,1,3,6,7,9,8,6,6,7,9,10,14,14,18,22,30,32,36,35,45,42,53,61,68,76,83,95
angular_total, 4,19,22,28,22,32,24,26,32,29,35,47,70,79,91,119,142,158,175,190,276,344,429,508,587,666,760,837
blazor_script, 1,7,12,17,22,31,37,38,44,51,58,112,174,230,286,335,403,437,500,589,838,1157,1452,1715,2015,2299,2590,2918
blazor_total, 4,12,19,27,36,50,59,63,73,84,93,170,258,340,424,497,588,647,738,850,1226,1681,2090,2467,2904,3327,3774,4182
react_script, 0,4,9,16,21,24,26,25,29,36,36,46,55,60,82,90,99,106,118,120,190,243,231,274,313,348,383,416
react_total, 4,22,26,41,44,52,48,48,65,65,57,93,137,155,197,225,254,281,313,337,507,660,758,901,1041,1183,1329,1463
svelte_script, 0,1,1,4,3,4,4,5,7,7,7,13,22,21,24,31,42,35,38,49,80,123,144,144,191,185,179,193
svelte_total, 4,8,31,48,51,42,47,41,43,42,52,76,109,120,143,165,196,207,233,262,402,555,694,768,928,1021,1122,1237
vue_script, 0,5,11,18,23,27,28,32,30,37,39,61,76,97,123,133,150,171,189,204,230,292,350,412,467,530,691,770
vue_total, 4,10,28,36,48,52,50,55,53,60,69,99,126,158,199,222,254,287,319,348,444,575,707,833,957,1091,1328,1476
vue3_script, 0,5,13,13,18,20,22,24,27,29,33,55,58,77,73,88,106,126,132,143,202,258,264,311,356,398,452,481
vue3_total, 4,25,32,30,39,49,48,50,53,56,67,98,111,142,147,178,208,244,265,292,416,542,615,729,841,950,1085,1190
