Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,1,2,5,6,6,6,2,4,3,5,5,5,4,2,8,10,11,11,12,14,10,13,14,15,16,17,20
angular_total, 4,7,16,16,21,18,16,12,19,15,18,20,19,16,16,23,26,29,30,30,36,34,38,44,48,51,56,63
blazor_script, 1,2,4,4,5,5,6,7,8,8,9,17,26,35,46,47,55,61,68,93,110,151,186,234,266,321,337,372
blazor_total, 4,5,7,7,8,10,9,13,13,13,18,25,37,47,60,62,71,79,88,115,138,187,230,285,328,387,407,447
react_script, 0,4,9,13,19,23,24,25,27,33,35,42,51,54,70,80,84,91,98,102,168,215,214,225,258,292,320,345
react_total, 4,10,32,27,42,42,41,39,47,48,59,59,73,70,85,97,101,110,119,124,191,243,242,256,293,331,362,395
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,1,1,0
svelte_total, 4,8,31,49,31,28,28,40,32,34,29,32,25,16,17,17,18,19,21,23,29,43,44,44,49,42,44,47
vue_script, 0,2,5,7,7,12,13,15,15,15,16,27,35,46,68,68,81,90,104,107,102,125,150,173,201,218,325,387
vue_total, 5,5,24,28,26,33,31,25,32,28,31,43,46,56,81,82,95,102,117,122,120,147,176,201,239,256,369,438
vue3_script, 0,1,2,6,6,6,8,8,9,10,9,18,20,19,22,26,28,39,43,47,60,76,69,82,92,101,111,119
vue3_total, 4,8,19,28,26,25,30,31,26,26,26,39,33,31,34,40,43,55,61,66,79,101,95,111,123,135,152,163
