Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536
angular_script, 2,2,4,5,8,15,28,58,99,163,238,341,526,824,1426,2798
angular_total, 6,6,8,9,16,27,49,95,168,310,529,922,1708,3212,6326,12607
blazor_script, 3,3,3,5,7,12,21,39,77,154,300,597,1144,2195,4339,8410
blazor_total, 6,6,6,8,11,17,30,54,102,199,390,789,1521,2958,5861,11396
react_script, 1,1,1,2,3,6,10,21,40,66,105,171,301,553,998,1889
react_total, 4,5,6,6,8,11,18,35,50,113,194,359,676,1320,2526,4963
svelte_script, 1,1,1,1,2,3,3,9,14,27,55,101,184,311,627,1110
svelte_total, 5,5,5,5,5,8,12,21,40,74,148,292,567,1087,2180,4207
vue_script, 1,2,2,4,7,12,21,39,76,128,239,351,576,964,1800,3498
vue_total, 6,5,6,7,10,18,30,53,102,173,330,537,951,1712,3288,6478
vue3_script, 1,1,2,3,5,7,16,29,55,90,149,248,389,729,1281,2398
vue3_total, 5,6,6,7,9,13,26,40,80,135,237,431,756,1473,2754,5365
