Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
angular_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0
angular_total, 5,4,4,5,4,5,4,5,5,4,5,5,6,5
blazor_script, 1,1,1,1,1,1,1,1,1,1,1,2,6,2
blazor_total, 4,4,5,5,5,5,4,5,6,7,9,16,27,36
react_script, 0,0,0,0,0,0,0,0,1,1,3,3,3,3
react_total, 5,5,4,5,5,5,3,4,5,5,8,14,19,25
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0
svelte_total, 5,5,5,5,4,4,6,12,4,5,4,19,21,46
vue_script, 0,0,0,0,0,0,0,0,0,0,0,2,2,2
vue_total, 4,4,4,5,4,3,4,4,4,7,9,17,15,24
vue3_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0
vue3_total, 4,4,4,5,5,5,3,4,5,5,6,12,18,23
