Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536
angular_script, 0,0,0,1,1,2,3,5,12,14,22,32,32,43,103,109
angular_total, 4,4,5,5,5,6,6,9,18,28,39,55,71,117,247,393
blazor_script, 3,2,3,3,3,3,3,2,2,2,2,8,7,3,32,3
blazor_total, 6,5,6,6,7,7,6,6,7,9,10,19,28,41,84,86
react_script, 1,1,1,1,2,4,7,13,23,42,53,92,148,211,379,867
react_total, 4,5,5,5,5,9,10,17,29,47,59,104,168,235,422,968
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
svelte_total, 4,4,3,4,4,6,7,12,3,5,4,20,23,42,46,141
vue_script, 0,0,0,0,0,0,0,0,0,3,4,5,3,3,9,3
vue_total, 4,4,4,4,4,4,4,4,5,6,11,14,18,27,64,96
vue3_script, 1,0,0,0,0,0,0,1,1,1,1,1,5,2,1,6
vue3_total, 4,4,4,4,4,4,3,5,5,5,7,13,18,26,47,103
