Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
angular_script, 0,1,2,4,6,7,8,8,11,10,13,15,21,26,29,32,40,46,50,53
angular_total, 4,31,47,73,108,153,176,199,221,242,264,445,656,845,1030,1218,1433,1638,1826,2242
blazor_script, 1,13,24,38,57,68,80,94,94,118,132,258,399,489,616,726,835,997,1101,1223
blazor_total, 4,63,116,152,223,266,310,348,331,427,472,826,1317,1723,1949,2287,2931,3380,3800,4184
react_script, 0,23,28,32,40,44,50,52,55,61,69,126,168,207,253,293,378,447,457,536
react_total, 4,61,110,146,168,192,218,238,264,299,320,591,790,1023,1273,1516,1883,2231,2383,2768
svelte_script, 0,1,1,2,2,2,3,3,3,4,4,9,14,19,24,27,42,43,47,41
svelte_total, 4,17,19,92,113,147,136,186,206,226,247,443,625,806,998,1193,1408,1692,1900,2025
vue_script, 0,12,19,29,37,43,52,53,69,76,80,124,185,267,331,380,454,440,498,595
vue_total, 4,51,99,147,168,197,233,260,312,342,379,565,827,1261,1556,1866,2208,2126,2357,3099
vue3_script, 0,6,10,16,21,24,28,31,35,39,43,75,107,113,130,144,160,180,194,209
vue3_total, 5,44,71,110,150,175,197,222,247,272,295,536,769,938,1181,1421,1610,1796,2053,2277
