Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
angular_script, 0,1,1,2,4,4,4,5,5,6,7,8,10,13,15,15,16,18,20,22
angular_total, 5,7,9,12,18,22,27,31,32,35,39,35,58,68,80,84,105,118,135,363
blazor_script, 7,3,3,4,5,5,6,6,7,7,7,14,20,25,30,36,40,45,51,56
blazor_total, 18,13,23,19,20,25,26,28,30,34,47,65,102,127,139,165,186,210,240,702
react_script, 0,23,25,26,34,43,48,51,48,52,56,115,139,178,222,262,330,401,416,498
react_total, 4,32,39,51,59,69,75,81,83,94,100,209,211,274,361,425,589,789,816,972
svelte_script, 0,0,0,1,1,1,1,1,1,1,2,3,5,6,8,8,9,11,17,18
svelte_total, 4,6,8,13,21,19,21,26,29,30,31,55,61,65,80,101,110,230,269,301
vue_script, 0,2,3,4,5,7,9,10,12,13,16,27,36,46,57,66,76,74,79,84
vue_total, 4,9,10,26,22,26,33,34,45,46,60,63,85,130,188,231,275,205,230,241
vue3_script, 0,1,2,2,4,6,6,6,7,7,8,16,22,23,27,29,31,34,36,38
vue3_total, 3,9,14,16,19,25,27,28,34,36,39,63,76,85,134,154,163,184,204,205
