Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 1,2,5,4,2,3,4,5,6,5,5,5,7,14,16,23,32,35,32,38,49,55,40,47,46,48,51,52
angular_total, 6,7,12,9,9,8,10,11,11,10,13,19,28,39,54,70,87,97,102,116,174,211,240,282,327,372,413,461
blazor_script, 3,2,2,4,4,4,5,5,6,6,8,13,18,25,33,36,42,46,52,57,85,114,144,168,193,222,252,275
blazor_total, 7,6,7,7,7,10,12,10,10,10,11,18,25,32,41,45,52,57,64,70,103,140,177,212,247,283,322,353
react_script, 0,2,3,5,6,7,9,12,12,14,15,22,27,33,36,41,45,49,57,56,79,101,131,147,177,198,228,252
react_total, 5,6,8,8,9,10,12,15,15,17,17,27,32,39,43,49,55,60,68,67,94,120,156,177,214,241,275,306
svelte_script, 0,0,0,1,1,1,1,1,1,2,1,5,5,8,7,8,12,17,14,11,23,33,73,76,85,92,100,98
svelte_total, 4,6,6,8,7,9,5,7,5,7,6,10,10,13,13,15,20,27,25,26,45,56,104,115,135,147,164,170
vue_script, 1,2,3,4,7,6,9,11,14,15,15,27,38,45,61,71,77,75,83,86,126,127,149,170,192,211,227,251
vue_total, 5,6,7,7,10,10,13,14,17,18,18,32,43,51,69,81,88,84,93,97,139,146,173,201,228,253,275,304
vue3_script, 1,1,2,2,4,6,6,7,8,8,9,16,20,23,25,29,33,35,36,40,53,77,102,115,126,141,156,171
vue3_total, 5,6,6,6,7,9,10,10,11,12,13,19,25,29,32,37,43,46,49,53,68,97,126,145,161,181,201,221
