Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,2,3,5,4,5,6,7,8,9,10,19,26,42,48,55,65,74,79,88,124,157,183,216,248,280,311,347
angular_total, 5,8,9,9,8,11,9,12,14,16,15,30,41,63,69,84,97,110,120,131,187,231,261,324,368,417,459,510
blazor_script, 1,10,17,24,31,39,47,52,59,67,82,140,219,295,373,456,539,622,714,817,1338,1941,2601,3356,4146,5031,5974,7044
blazor_total, 4,14,23,30,38,47,57,61,70,77,97,159,252,325,418,516,603,695,782,901,1470,2124,2841,3657,4480,5417,6449,7573
react_script, 0,4,6,8,11,14,17,21,26,26,28,51,70,94,124,150,182,222,251,313,527,821,1174,1587,2076,2635,3240,3919
react_total, 4,10,13,16,17,22,24,28,31,35,38,68,94,123,161,194,232,277,312,380,633,962,1360,1811,2339,2933,3586,4303
svelte_script, 0,2,3,4,5,5,6,7,8,9,12,22,32,43,52,64,80,85,97,105,144,180,212,241,275,304,340,368
svelte_total, 5,8,11,13,11,10,14,16,18,23,24,42,59,76,93,111,139,154,168,184,276,361,439,500,589,671,767,820
vue_script, 0,6,12,16,23,27,35,37,43,45,48,98,139,150,223,254,315,216,404,463,821,1221,1729,2362,3069,4486,4848,5856
vue_total, 5,12,18,23,32,38,45,48,54,58,61,120,171,195,279,322,390,294,492,561,976,1403,1957,2636,3394,4918,5342,6391
vue3_script, 0,4,7,10,15,18,21,25,29,31,32,41,64,73,87,96,107,115,121,130,183,238,284,344,384,434,478,523
vue3_total, 4,9,14,18,22,26,30,36,40,42,45,59,90,104,128,143,161,177,191,211,299,400,482,578,662,748,838,935
