Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,5,7,10,13,16,20,24,29,33,35,59,76,88,102,108,120,126,132,140,164,186,208,231,256,280,339,364
angular_total, 4,11,16,22,28,34,41,48,56,62,66,118,163,206,252,293,334,375,417,455,646,837,1023,1211,1413,1600,1827,2019
blazor_script, 1,9,13,18,23,28,32,37,42,47,52,106,161,214,268,318,371,421,493,557,858,1181,1501,1826,2222,2615,3016,3451
blazor_total, 5,13,17,24,30,36,42,47,53,59,65,127,192,255,319,378,442,504,587,663,1019,1401,1775,2156,2607,3059,3527,4007
react_script, 0,3,7,11,14,16,18,21,25,28,28,55,77,98,122,151,177,207,243,278,507,782,1128,1532,2019,2553,3169,3840
react_total, 4,8,13,18,23,27,29,31,35,42,42,83,114,146,179,220,257,300,347,394,684,1023,1432,1898,2450,3043,3719,4453
svelte_script, 0,1,2,2,4,5,7,8,9,9,10,21,30,34,40,47,50,55,60,72,95,131,152,168,190,213,230,252
svelte_total, 4,5,8,10,10,13,15,18,18,23,21,42,66,78,99,121,135,151,168,194,279,379,469,548,635,723,813,900
vue_script, 0,5,11,14,18,21,24,30,32,37,41,79,110,133,153,180,183,196,213,225,281,369,422,490,547,613,659,714
vue_total, 5,9,17,22,27,31,35,42,46,53,57,106,146,180,211,248,261,289,317,340,456,608,722,850,969,1101,1211,1327
vue3_script, 0,4,9,11,15,20,23,27,30,34,34,67,80,93,105,122,129,139,147,169,193,242,282,309,355,390,428,473
vue3_total, 4,9,15,18,24,31,34,39,44,49,50,92,116,139,162,192,211,232,250,286,372,482,585,671,779,875,980,1090
