Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,1,3,5,8,8,7,5,7,9,10,10,15,15,15,17,22,27,27,29,38,43,52,59,67,74,81,90
angular_total, 5,16,19,23,27,27,24,24,34,32,35,38,73,81,101,117,142,159,173,189,272,344,427,506,586,667,752,831
blazor_script, 1,7,12,17,23,29,35,39,43,48,55,105,164,216,274,311,373,408,467,524,825,1070,1356,1613,1886,2143,2386,2731
blazor_total, 4,12,17,29,39,50,56,64,72,82,95,174,260,340,422,489,590,637,731,858,1224,1653,2092,2460,2886,3277,3701,4255
react_script, 0,4,10,15,20,23,25,27,29,34,34,48,52,61,74,83,86,95,100,102,150,187,206,244,273,309,339,380
react_total, 4,15,32,40,48,50,50,44,54,62,62,113,138,156,195,226,253,278,306,333,505,662,754,900,1034,1176,1325,1462
svelte_script, 0,1,1,2,3,4,4,5,7,7,8,12,19,20,24,28,31,34,38,41,65,93,113,122,153,156,159,182
svelte_total, 5,13,26,44,44,46,50,42,51,49,53,70,106,118,142,166,195,208,232,262,401,554,685,764,932,1006,1103,1232
vue_script, 0,5,10,18,22,26,29,31,32,33,37,56,65,85,106,117,130,146,163,175,215,268,340,385,435,489,576,645
vue_total, 4,14,23,40,42,50,54,59,60,57,68,100,124,157,197,223,256,284,321,349,441,568,717,833,958,1076,1325,1472
vue3_script, 0,4,12,15,17,19,22,23,27,29,30,53,57,67,74,84,91,106,119,124,172,216,245,292,339,371,410,456
vue3_total, 4,11,34,37,40,39,54,55,58,59,59,99,110,141,149,177,208,240,266,291,415,535,605,724,842,938,1061,1175
