Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,1,2,4,6,6,6,2,3,3,5,4,5,3,2,8,11,10,15,12,18,10,13,14,15,15,17,20
angular_total, 5,8,12,17,17,19,15,11,15,17,19,17,20,11,15,20,25,25,28,28,36,31,37,41,43,47,52,58
blazor_script, 1,2,3,3,5,6,6,7,7,8,9,16,28,34,47,45,55,57,66,104,110,149,183,236,259,346,324,364
blazor_total, 4,5,8,7,9,10,9,12,13,13,14,25,39,46,60,59,71,74,85,127,137,186,225,285,318,411,389,435
react_script, 0,4,10,14,19,22,26,25,27,33,35,42,53,56,72,80,87,93,103,107,172,219,200,235,269,300,329,360
react_total, 4,10,28,29,39,34,43,42,43,50,56,56,75,72,87,96,103,110,121,126,194,242,225,263,300,335,369,407
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,1,1,0
svelte_total, 4,8,25,46,48,36,28,29,33,28,30,31,24,14,18,17,18,18,20,20,27,41,49,32,36,36,39,40
vue_script, 0,2,5,7,9,11,16,16,16,16,15,29,37,47,68,75,84,91,102,107,103,126,153,178,200,222,325,378
vue_total, 4,5,20,24,28,28,34,32,30,28,30,38,48,58,80,88,96,102,114,121,120,146,178,204,231,259,364,419
vue3_script, 0,1,2,7,6,6,7,8,8,9,11,17,16,18,22,25,27,39,42,49,60,76,68,80,89,100,109,118
vue3_total, 4,6,21,34,26,25,21,31,25,27,31,33,25,31,34,39,42,53,58,67,77,98,92,105,115,128,152,158
