Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536
angular_script, 2,2,3,4,6,11,20,41,75,120,162,216,297,469,774,1358
angular_total, 6,6,6,8,12,18,34,65,117,204,332,556,992,1878,3654,7210
blazor_script, 3,3,3,4,6,9,17,30,59,128,241,485,966,1870,3644,7390
blazor_total, 6,6,6,7,10,13,23,39,74,153,290,585,1172,2272,4446,8991
react_script, 1,1,1,2,2,4,7,15,32,55,86,137,233,394,733,1365
react_total, 5,5,6,6,6,10,14,26,45,77,142,249,464,858,1669,3253
svelte_script, 0,1,1,1,1,2,3,6,10,22,43,83,142,233,482,771
svelte_total, 5,5,5,4,5,7,7,10,22,53,101,198,375,696,1407,2625
vue_script, 1,2,2,3,6,10,17,32,64,101,180,276,436,711,1283,2579
vue_total, 6,6,6,6,9,14,25,38,82,131,238,389,666,1172,2202,4428
vue3_script, 1,2,2,3,5,8,16,31,53,84,132,223,313,485,897,1611
vue3_total, 6,6,6,6,8,12,24,39,72,115,190,340,549,953,1836,3483
