Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536
angular_script, 0,0,0,1,1,2,4,7,12,17,23,32,29,43,119,124
angular_total, 5,5,5,4,4,5,8,12,17,26,37,53,60,98,224,330
blazor_script, 2,3,3,3,2,3,2,3,2,3,3,7,8,3,5,3
blazor_total, 6,6,6,6,6,6,5,6,6,9,10,20,28,41,51,86
react_script, 1,1,1,1,2,3,7,13,23,42,53,93,148,212,387,874
react_total, 4,5,5,4,6,8,12,16,32,47,59,105,166,237,439,975
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
svelte_total, 5,4,3,5,5,6,7,7,8,4,5,10,12,22,24,42
vue_script, 0,1,0,0,0,0,0,0,0,5,3,6,3,3,9,3
vue_total, 4,4,5,4,4,3,4,4,5,8,11,14,17,27,70,104
vue3_script, 0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,8
vue3_total, 5,5,4,4,4,5,4,5,9,5,6,13,20,26,48,101
