Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
angular_script, 0,2,3,3,6,7,12,14,16,17,17,15,31,37,38,30,56,71,75,258
angular_total, 4,29,48,73,120,153,177,198,221,244,267,444,647,847,1033,1212,1436,1648,1835,2247
blazor_script, 1,15,29,36,76,93,112,125,93,145,166,278,492,605,654,772,1088,1320,1445,1516
blazor_total, 4,62,117,149,221,267,312,351,331,429,475,820,1305,1714,1944,2317,2958,3447,3849,4185
react_script, 0,23,32,34,46,52,52,58,68,77,81,182,197,246,302,354,543,707,702,848
react_total, 4,50,111,144,171,194,214,240,269,298,323,599,796,1029,1276,1533,1895,2240,2409,2774
svelte_script, 0,1,1,1,2,2,3,3,4,4,5,10,25,21,26,46,33,86,88,104
svelte_total, 5,18,54,59,123,146,165,185,205,225,245,445,626,809,1001,1203,1370,1686,1885,2091
vue_script, 0,15,20,36,42,57,68,84,112,122,137,156,227,440,575,655,742,570,633,1044
vue_total, 5,51,97,146,166,201,229,263,314,345,380,570,829,1244,1563,1831,2105,2100,2346,2962
vue3_script, 0,5,10,16,22,26,28,33,36,42,47,100,138,116,138,160,175,197,207,225
vue3_total, 4,37,71,120,148,175,196,223,245,271,296,540,774,938,1180,1393,1618,1818,2026,2244
