Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
angular_script, 0,1,1,2,4,4,7,8,9,11,11,8,20,20,22,15,48,53,67,232
angular_total, 4,7,11,14,19,22,27,30,33,34,37,36,59,68,81,84,105,119,142,370
blazor_script, 7,5,7,4,5,6,5,7,7,15,14,14,31,36,30,35,39,45,50,310
blazor_total, 19,13,24,19,21,24,26,28,30,35,47,62,101,126,139,164,187,211,248,662
react_script, 0,23,29,29,41,50,54,56,56,64,66,177,165,216,265,309,484,646,668,785
react_total, 5,35,41,53,58,71,76,82,84,93,97,211,212,276,356,409,602,789,833,946
svelte_script, 0,0,0,1,1,1,1,1,1,1,2,3,14,6,7,16,9,78,63,81
svelte_total, 4,6,8,9,28,20,22,24,29,31,32,56,60,66,83,104,109,256,268,299
vue_script, 0,2,3,4,5,7,11,10,21,18,29,29,38,49,102,136,157,75,87,94
vue_total, 4,9,10,25,24,26,34,36,47,46,58,63,86,134,181,218,271,222,233,265
vue3_script, 0,1,2,2,4,6,6,6,7,8,8,27,36,24,27,30,32,34,37,38
vue3_total, 4,8,11,16,17,26,29,29,32,34,38,61,80,87,123,130,157,182,201,222
