Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192
angular_script, 0,0,0,1,1,2,4,8,17,27,29,44,238
angular_total, 6,7,5,5,7,9,11,31,47,72,115,211,577
blazor_script, 3,3,4,5,8,14,28,60,101,250,502,1020,2013
blazor_total, 7,8,9,9,14,20,41,72,126,303,605,1213,2396
react_script, 1,2,4,9,15,28,34,44,66,101,235,289,841
react_total, 5,6,8,15,19,35,43,67,91,142,295,419,1068
svelte_script, 0,0,0,1,1,1,2,3,5,10,20,54,80
svelte_total, 6,5,9,7,10,5,7,13,29,56,82,174,387
vue_script, 1,2,5,10,13,16,24,47,71,171,209,564,738
vue_total, 4,7,10,14,20,24,33,69,95,204,271,697,990
vue3_script, 1,1,2,3,6,10,20,32,42,72,91,149,311
vue3_total, 5,6,8,10,12,21,29,56,67,106,152,270,542
