Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192
angular_script, 0,0,0,1,1,2,3,6,14,23,23,27,178
angular_total, 5,6,6,4,5,6,7,23,29,37,48,70,265
blazor_script, 1,1,1,1,1,1,3,1,1,12,8,8,6
blazor_total, 5,6,9,4,5,5,12,6,15,52,67,107,111
react_script, 1,1,1,1,1,1,3,3,3,3,11,4,4
react_total, 6,5,8,5,5,10,8,8,17,29,31,46,63
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0
svelte_total, 5,7,8,13,6,3,4,5,14,27,20,37,157
vue_script, 0,0,1,1,0,0,0,0,0,5,1,1,3
vue_total, 4,5,8,4,5,5,4,15,14,17,20,43,61
vue3_script, 0,0,0,0,0,0,0,0,0,4,0,0,5
vue3_total, 4,6,6,6,4,6,5,5,13,16,18,42,76
