Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192
angular_script, 0,0,0,0,1,2,3,5,14,23,20,24,148
angular_total, 5,6,7,4,5,6,7,24,29,34,40,59,219
blazor_script, 3,2,3,2,2,3,4,3,3,13,10,8,7
blazor_total, 7,7,9,6,6,7,13,8,16,48,62,100,83
react_script, 1,2,5,10,15,28,34,43,64,98,225,278,806
react_total, 5,6,11,13,19,32,40,61,77,114,240,307,850
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0
svelte_total, 5,5,8,12,26,4,4,5,14,25,17,30,101
vue_script, 0,0,2,0,0,0,0,0,1,4,1,1,3
vue_total, 5,6,5,4,4,6,5,14,14,17,17,31,59
vue3_script, 1,0,1,0,0,1,1,1,1,4,1,1,8
vue3_total, 5,6,8,8,5,15,6,7,12,14,16,24,58
